experiment_id,network_type,num_nodes,num_demands,contention_level,gate_error_2q,seed,qaoa_objective,qaoa_utility,qaoa_penalty,qaoa_valid,qaoa_time,greedy_objective,greedy_utility,greedy_penalty,greedy_valid,greedy_time,independent_utility,qaoa_approximation_ratio,greedy_approximation_ratio,qaoa_advantage
0,barbell,8,3,0.1875,0.001,0,-7.937088191088744,2.0629118089112564,10.0,False,28.821778297424316,-7.937088191088743,2.062911808911257,10.0,False,0.0002930164337158203,2.0629118089112564,1.0,1.0000000000000002,-2.152729980659908e-16
1,barbell,8,3,0.1875,0.001,1001,-38.08466152644248,1.9153384735575192,40.0,False,37.66553282737732,-38.08466152644248,1.9153384735575192,40.0,False,0.00028514862060546875,1.9153384735575192,1.0,1.0,0.0
2,barbell,8,3,0.1875,0.001,2002,1.4949260182219928,1.4949260182219928,0.0,True,48.33187007904053,1.4949260182219928,1.4949260182219928,0.0,True,0.0005145072937011719,1.4949260182219928,1.0,1.0,0.0
3,barbell,8,3,0.1875,0.001,3003,2.003244046328504,2.003244046328504,0.0,True,28.25322389602661,2.003244046328504,2.003244046328504,0.0,True,0.00031113624572753906,2.003244046328504,1.0,1.0,0.0
4,barbell,8,3,0.1875,0.001,4004,1.687198589072782,1.687198589072782,0.0,True,36.36038637161255,1.687198589072782,1.687198589072782,0.0,True,0.0005495548248291016,1.687198589072782,1.0,1.0,0.0
5,barbell,8,3,0.1875,0.001,5005,-18.503291560430476,1.4967084395695247,20.0,False,49.30000948905945,-18.503291560430476,1.4967084395695247,20.0,False,0.00038933753967285156,1.4967084395695247,1.0,1.0,0.0
6,barbell,8,3,0.1875,0.001,6006,1.6748398451038473,1.6748398451038473,0.0,True,42.66753315925598,1.6748398451038473,1.6748398451038473,0.0,True,0.00046753883361816406,1.6748398451038473,1.0,1.0,0.0
7,barbell,8,3,0.1875,0.001,7007,2.1720716895622143,2.1720716895622143,0.0,True,25.56183648109436,2.1720716895622143,2.1720716895622143,0.0,True,0.0003001689910888672,2.1720716895622143,1.0,1.0,0.0
8,barbell,8,3,0.1875,0.001,8008,-28.442674075499234,1.557325924500768,30.0,False,54.99030351638794,-28.442674075499234,1.557325924500768,30.0,False,0.0003771781921386719,1.557325924500768,1.0,1.0,0.0
9,barbell,8,3,0.1875,0.001,9009,-18.507463376371437,1.4925366236285633,20.0,False,37.075165033340454,-18.507463376371437,1.4925366236285633,20.0,False,0.0004353523254394531,1.4925366236285633,1.0,1.0,0.0
10,barbell,8,3,0.1875,0.01,10000,1.7981175122264443,1.7981175122264443,0.0,True,34.73287224769592,1.7981175122264443,1.7981175122264443,0.0,True,0.00037932395935058594,1.7981175122264443,1.0,1.0,0.0
11,barbell,8,3,0.1875,0.01,11001,1.8920621668993953,1.8920621668993953,0.0,True,49.211127281188965,1.8920621668993953,1.8920621668993953,0.0,True,0.0005257129669189453,1.8920621668993953,1.0,1.0,0.0
12,barbell,8,3,0.1875,0.01,12002,1.7637144390597344,1.7637144390597344,0.0,True,34.7262647151947,1.7637144390597344,1.7637144390597344,0.0,True,0.0003819465637207031,1.7637144390597344,1.0,1.0,0.0
13,barbell,8,3,0.1875,0.01,13003,-8.150031457746325,1.8499685422536758,10.0,False,48.475502729415894,-8.150031457746325,1.8499685422536758,10.0,False,0.00047707557678222656,1.8499685422536758,1.0,1.0,0.0
14,barbell,8,3,0.1875,0.01,14004,2.0045858784652277,2.0045858784652277,0.0,True,48.595747232437134,2.0045858784652277,2.0045858784652277,0.0,True,0.00040078163146972656,2.0045858784652277,1.0,1.0,0.0
15,barbell,8,3,0.1875,0.01,15005,-8.033398900750015,1.9666010992499843,10.0,False,44.566391706466675,-8.033398900750015,1.9666010992499843,10.0,False,0.00037360191345214844,1.9666010992499843,1.0,1.0,0.0
16,barbell,8,3,0.1875,0.01,16006,-58.77345977265156,1.226540227348437,60.0,False,62.56876516342163,-58.77345977265156,1.226540227348437,60.0,False,0.0005517005920410156,1.226540227348437,1.0,1.0,0.0
17,barbell,8,3,0.1875,0.01,17007,-7.9085040828401905,2.0914959171598095,10.0,False,38.01597046852112,-7.9085040828401905,2.0914959171598095,10.0,False,0.0004134178161621094,2.0914959171598095,1.0,1.0,0.0
18,barbell,8,3,0.1875,0.01,18008,-58.846178076501914,1.1538219234980835,60.0,False,48.68335843086243,-58.846178076501914,1.1538219234980835,60.0,False,0.0025916099548339844,1.1538219234980835,1.0,1.0,0.0
19,barbell,8,3,0.1875,0.01,19009,1.6578546421596734,1.6578546421596734,0.0,True,55.777082681655884,1.6578546421596734,1.6578546421596734,0.0,True,0.0006685256958007812,1.6578546421596734,1.0,1.0,0.0
20,barbell,8,4,0.25,0.001,20000,-68.44230622783856,1.5576937721614434,70.0,False,95.85814595222473,-68.44230622783856,1.5576937721614434,70.0,False,0.0004496574401855469,1.5576937721614434,1.0,1.0,0.0
21,barbell,8,4,0.25,0.001,21001,3.065796270842239,3.065796270842239,0.0,True,74.82190227508545,3.065796270842239,3.065796270842239,0.0,True,0.0006263256072998047,3.065796270842239,1.0,1.0,0.0
22,barbell,8,4,0.25,0.001,22002,-98.09742956451056,1.902570435489443,100.0,False,75.93278861045837,-98.09742956451056,1.902570435489443,100.0,False,0.00048160552978515625,1.902570435489443,1.0,1.0,0.0
23,barbell,8,4,0.25,0.001,23003,-118.13033269102425,1.8696673089757487,120.0,False,77.0335304737091,-118.13033269102425,1.8696673089757487,120.0,False,0.00044655799865722656,1.8696673089757487,1.0,1.0,0.0
24,barbell,8,4,0.25,0.001,24004,-128.0846435548843,1.9153564451156857,130.0,False,61.35761594772339,-128.0846435548843,1.9153564451156853,130.0,False,0.00040793418884277344,1.9153564451156857,1.0,0.9999999999999998,2.3185721434907127e-16
25,barbell,8,4,0.25,0.001,25005,-37.967557993080945,2.032442006919052,40.0,False,49.06819725036621,-37.967557993080945,2.0324420069190525,40.0,False,0.0005285739898681641,2.032442006919052,1.0,1.0000000000000002,-2.185003106303882e-16
26,barbell,8,4,0.25,0.001,26006,-7.645423165466882,2.3545768345331175,10.0,False,83.53446221351624,-7.645423165466882,2.3545768345331175,10.0,False,0.0004744529724121094,2.3545768345331175,1.0,1.0,0.0
27,barbell,8,4,0.25,0.001,27007,-37.85530273052109,2.1446972694789146,40.0,False,46.19997048377991,-37.85530273052109,2.1446972694789146,40.0,False,0.0006511211395263672,2.1446972694789146,1.0,1.0,0.0
28,barbell,8,4,0.25,0.001,28008,2.118650102295943,2.118650102295943,0.0,True,56.259422302246094,2.1186501022959425,2.1186501022959425,0.0,True,0.0006997585296630859,2.118650102295943,1.0,0.9999999999999998,2.0960951002188197e-16
29,barbell,8,4,0.25,0.001,29009,2.9794084337917655,2.9794084337917655,0.0,True,42.356364488601685,2.9794084337917655,2.9794084337917655,0.0,True,0.00045800209045410156,2.9794084337917655,1.0,1.0,0.0
30,barbell,8,4,0.25,0.01,30000,-47.861354803743566,2.1386451962564337,50.0,False,67.47353911399841,-47.861354803743566,2.1386451962564337,50.0,False,0.0006024837493896484,2.1386451962564337,1.0,1.0,0.0
31,barbell,8,4,0.25,0.01,31001,-98.09669813715374,1.9033018628462692,100.0,False,94.08726406097412,-98.09669813715374,1.9033018628462695,100.0,False,0.0005092620849609375,1.9033018628462692,1.0,1.0000000000000002,-1.1666284222145268e-16
32,barbell,8,4,0.25,0.01,32002,-47.649320015869044,2.3506799841309585,50.0,False,46.01935410499573,-47.649320015869044,2.3506799841309585,50.0,False,0.00043702125549316406,2.3506799841309585,1.0,1.0,0.0
33,barbell,8,4,0.25,0.01,33003,-47.577003801452236,2.4229961985477657,50.0,False,61.9427387714386,-47.577003801452236,2.4229961985477653,50.0,False,0.0004048347473144531,2.4229961985477657,1.0,0.9999999999999998,1.832810179876591e-16
